professor.hut	skipper.crew.hut	8655
ginger.girl.hut	laser3.copyroom.hut	6404
skipper.crew.hut	fileserver.copyroom.hut	8534
gilligan.crew.hut	skipper.crew.hut	1004
laser3.copyroom.hut	ginger.girl.hut	4366
maryann.girl.hut	professor.hut	8454
skipper.crew.hut	professor.hut	7475
gilligan.crew.hut	maryann.girl.hut	8128
gilligan.crew.hut	maryann.girl.hut	5277
gilligan.crew.hut	fileserver.copyroom.hut	6117
skipper.crew.hut	professor.hut	5101
gilligan.crew.hut	gilligan.crew.hut	9973
ginger.girl.hut	fileserver.copyroom.hut	1448
skipper.crew.hut	gilligan.crew.hut	2146
fileserver.copyroom.hut	gilligan.crew.hut	9568
maryann.girl.hut	laser3.copyroom.hut	8024
fileserver.copyroom.hut	laser3.copyroom.hut	9574
gilligan.crew.hut	professor.hut	1630
professor.hut	skipper.crew.hut	1861
ginger.girl.hut	gilligan.crew.hut	2462
gilligan.crew.hut	skipper.crew.hut	9976
maryann.girl.hut	maryann.girl.hut	5337
ginger.girl.hut	fileserver.copyroom.hut	9562
professor.hut	professor.hut	9573
laser3.copyroom.hut	skipper.crew.hut	7057
ginger.girl.hut	laser3.copyroom.hut	3316
laser3.copyroom.hut	fileserver.copyroom.hut	6607
laser3.copyroom.hut	skipper.crew.hut	996
professor.hut	gilligan.crew.hut	4003
laser3.copyroom.hut	maryann.girl.hut	401
laser3.copyroom.hut	professor.hut	3350
gilligan.crew.hut	gilligan.crew.hut	1551
professor.hut	professor.hut	3308
professor.hut	skipper.crew.hut	9422
gilligan.crew.hut	ginger.girl.hut	3233
fileserver.copyroom.hut	gilligan.crew.hut	4754
fileserver.copyroom.hut	skipper.crew.hut	7825
professor.hut	ginger.girl.hut	9704
skipper.crew.hut	ginger.girl.hut	1691
skipper.crew.hut	laser3.copyroom.hut	3072
ginger.girl.hut	gilligan.crew.hut	2293
ginger.girl.hut	skipper.crew.hut	123
fileserver.copyroom.hut	laser3.copyroom.hut	1552
skipper.crew.hut	ginger.girl.hut	7570
fileserver.copyroom.hut	ginger.girl.hut	9607
fileserver.copyroom.hut	gilligan.crew.hut	8957
laser3.copyroom.hut	fileserver.copyroom.hut	7392
gilligan.crew.hut	skipper.crew.hut	8298
laser3.copyroom.hut	maryann.girl.hut	6599
skipper.crew.hut	skipper.crew.hut	413
fileserver.copyroom.hut	ginger.girl.hut	790
fileserver.copyroom.hut	gilligan.crew.hut	209
skipper.crew.hut	fileserver.copyroom.hut	9847
gilligan.crew.hut	professor.hut	7315
fileserver.copyroom.hut	ginger.girl.hut	4199
gilligan.crew.hut	ginger.girl.hut	7463
gilligan.crew.hut	professor.hut	7311
professor.hut	fileserver.copyroom.hut	5223
laser3.copyroom.hut	skipper.crew.hut	4462
fileserver.copyroom.hut	maryann.girl.hut	2632
skipper.crew.hut	professor.hut	7734
laser3.copyroom.hut	ginger.girl.hut	8550
fileserver.copyroom.hut	laser3.copyroom.hut	7717
ginger.girl.hut	skipper.crew.hut	3031
professor.hut	skipper.crew.hut	8133
skipper.crew.hut	skipper.crew.hut	9218
laser3.copyroom.hut	laser3.copyroom.hut	6379
laser3.copyroom.hut	gilligan.crew.hut	8468
laser3.copyroom.hut	maryann.girl.hut	3935
laser3.copyroom.hut	ginger.girl.hut	2212
skipper.crew.hut	laser3.copyroom.hut	611
skipper.crew.hut	maryann.girl.hut	8078
fileserver.copyroom.hut	maryann.girl.hut	4863
laser3.copyroom.hut	laser3.copyroom.hut	6233
ginger.girl.hut	ginger.girl.hut	1836
ginger.girl.hut	ginger.girl.hut	6331
gilligan.crew.hut	professor.hut	8446
maryann.girl.hut	gilligan.crew.hut	6670
maryann.girl.hut	gilligan.crew.hut	3451
fileserver.copyroom.hut	ginger.girl.hut	3080
maryann.girl.hut	skipper.crew.hut	7569
ginger.girl.hut	ginger.girl.hut	9253
professor.hut	fileserver.copyroom.hut	4453
ginger.girl.hut	professor.hut	991
skipper.crew.hut	laser3.copyroom.hut	6969
laser3.copyroom.hut	skipper.crew.hut	7307
maryann.girl.hut	skipper.crew.hut	8867
ginger.girl.hut	fileserver.copyroom.hut	7421
maryann.girl.hut	gilligan.crew.hut	8708
ginger.girl.hut	maryann.girl.hut	1238
fileserver.copyroom.hut	laser3.copyroom.hut	7809
skipper.crew.hut	gilligan.crew.hut	1720
professor.hut	gilligan.crew.hut	8778
maryann.girl.hut	professor.hut	3041
fileserver.copyroom.hut	professor.hut	147
skipper.crew.hut	gilligan.crew.hut	2937
gilligan.crew.hut	ginger.girl.hut	6048
laser3.copyroom.hut	gilligan.crew.hut	9906
gilligan.crew.hut	fileserver.copyroom.hut	1824
professor.hut	ginger.girl.hut	5375
ginger.girl.hut	ginger.girl.hut	3222
gilligan.crew.hut	professor.hut	2595
maryann.girl.hut	fileserver.copyroom.hut	6117
skipper.crew.hut	fileserver.copyroom.hut	8790
fileserver.copyroom.hut	laser3.copyroom.hut	4500
laser3.copyroom.hut	laser3.copyroom.hut	5847
gilligan.crew.hut	gilligan.crew.hut	6876
skipper.crew.hut	gilligan.crew.hut	7961
fileserver.copyroom.hut	ginger.girl.hut	894
laser3.copyroom.hut	ginger.girl.hut	8706
laser3.copyroom.hut	professor.hut	1969
maryann.girl.hut	professor.hut	9838
skipper.crew.hut	gilligan.crew.hut	5974
maryann.girl.hut	maryann.girl.hut	3048
professor.hut	maryann.girl.hut	3826
professor.hut	professor.hut	532
maryann.girl.hut	fileserver.copyroom.hut	9054
ginger.girl.hut	skipper.crew.hut	3586
skipper.crew.hut	professor.hut	783
gilligan.crew.hut	maryann.girl.hut	4555
fileserver.copyroom.hut	fileserver.copyroom.hut	1016
maryann.girl.hut	maryann.girl.hut	4030
skipper.crew.hut	ginger.girl.hut	5528
maryann.girl.hut	professor.hut	3360
skipper.crew.hut	maryann.girl.hut	9160
ginger.girl.hut	fileserver.copyroom.hut	2594
skipper.crew.hut	maryann.girl.hut	2694
professor.hut	gilligan.crew.hut	3267
ginger.girl.hut	skipper.crew.hut	316
ginger.girl.hut	ginger.girl.hut	8381
professor.hut	laser3.copyroom.hut	4994
ginger.girl.hut	gilligan.crew.hut	6274
fileserver.copyroom.hut	ginger.girl.hut	7279
gilligan.crew.hut	ginger.girl.hut	5089
gilligan.crew.hut	ginger.girl.hut	8113
maryann.girl.hut	gilligan.crew.hut	3246
professor.hut	fileserver.copyroom.hut	8241
gilligan.crew.hut	fileserver.copyroom.hut	3475
maryann.girl.hut	fileserver.copyroom.hut	7118
maryann.girl.hut	skipper.crew.hut	3026
professor.hut	maryann.girl.hut	5791
maryann.girl.hut	professor.hut	1924
gilligan.crew.hut	gilligan.crew.hut	7988
professor.hut	ginger.girl.hut	3802
fileserver.copyroom.hut	professor.hut	4230
fileserver.copyroom.hut	fileserver.copyroom.hut	9611
fileserver.copyroom.hut	gilligan.crew.hut	4843
professor.hut	maryann.girl.hut	3381
professor.hut	fileserver.copyroom.hut	7120
fileserver.copyroom.hut	maryann.girl.hut	7961
fileserver.copyroom.hut	professor.hut	7922
skipper.crew.hut	ginger.girl.hut	2139
skipper.crew.hut	maryann.girl.hut	1334
laser3.copyroom.hut	fileserver.copyroom.hut	8698
laser3.copyroom.hut	gilligan.crew.hut	6812
fileserver.copyroom.hut	laser3.copyroom.hut	8473
maryann.girl.hut	fileserver.copyroom.hut	7206
laser3.copyroom.hut	fileserver.copyroom.hut	5327
skipper.crew.hut	maryann.girl.hut	3920
maryann.girl.hut	maryann.girl.hut	9240
fileserver.copyroom.hut	fileserver.copyroom.hut	4252
laser3.copyroom.hut	gilligan.crew.hut	5931
ginger.girl.hut	professor.hut	1817
laser3.copyroom.hut	fileserver.copyroom.hut	2676
professor.hut	ginger.girl.hut	8139
gilligan.crew.hut	maryann.girl.hut	8938
gilligan.crew.hut	laser3.copyroom.hut	5745
professor.hut	fileserver.copyroom.hut	4526
gilligan.crew.hut	professor.hut	2001
skipper.crew.hut	laser3.copyroom.hut	7655
professor.hut	fileserver.copyroom.hut	5952
maryann.girl.hut	professor.hut	8947
maryann.girl.hut	skipper.crew.hut	5754
fileserver.copyroom.hut	fileserver.copyroom.hut	37
ginger.girl.hut	gilligan.crew.hut	9182
gilligan.crew.hut	gilligan.crew.hut	8425
fileserver.copyroom.hut	maryann.girl.hut	2854
laser3.copyroom.hut	ginger.girl.hut	5828
maryann.girl.hut	professor.hut	1018
fileserver.copyroom.hut	gilligan.crew.hut	4195
professor.hut	gilligan.crew.hut	9036
gilligan.crew.hut	maryann.girl.hut	6158
skipper.crew.hut	professor.hut	1108
maryann.girl.hut	skipper.crew.hut	3334
laser3.copyroom.hut	ginger.girl.hut	1294
fileserver.copyroom.hut	professor.hut	108
fileserver.copyroom.hut	gilligan.crew.hut	7660
professor.hut	skipper.crew.hut	6813
laser3.copyroom.hut	professor.hut	3948
professor.hut	professor.hut	7036
gilligan.crew.hut	professor.hut	958
maryann.girl.hut	skipper.crew.hut	5714
gilligan.crew.hut	ginger.girl.hut	8623
ginger.girl.hut	gilligan.crew.hut	2683
professor.hut	maryann.girl.hut	3780
skipper.crew.hut	fileserver.copyroom.hut	9980
professor.hut	maryann.girl.hut	4733
gilligan.crew.hut	fileserver.copyroom.hut	5514
gilligan.crew.hut	laser3.copyroom.hut	9123
ginger.girl.hut	professor.hut	5295
skipper.crew.hut	laser3.copyroom.hut	365
gilligan.crew.hut	professor.hut	8460
maryann.girl.hut	fileserver.copyroom.hut	8034
laser3.copyroom.hut	maryann.girl.hut	1779
professor.hut	laser3.copyroom.hut	863
ginger.girl.hut	skipper.crew.hut	502
gilligan.crew.hut	professor.hut	6928
skipper.crew.hut	maryann.girl.hut	1505
professor.hut	laser3.copyroom.hut	4842
fileserver.copyroom.hut	fileserver.copyroom.hut	4167
fileserver.copyroom.hut	skipper.crew.hut	9690
skipper.crew.hut	laser3.copyroom.hut	6563
fileserver.copyroom.hut	ginger.girl.hut	7626
fileserver.copyroom.hut	skipper.crew.hut	5422
fileserver.copyroom.hut	ginger.girl.hut	4125
skipper.crew.hut	ginger.girl.hut	2319
fileserver.copyroom.hut	gilligan.crew.hut	8198
skipper.crew.hut	professor.hut	4335
gilligan.crew.hut	skipper.crew.hut	9759
skipper.crew.hut	gilligan.crew.hut	1274
skipper.crew.hut	maryann.girl.hut	2843
gilligan.crew.hut	gilligan.crew.hut	449
professor.hut	ginger.girl.hut	8340
maryann.girl.hut	fileserver.copyroom.hut	6764
skipper.crew.hut	maryann.girl.hut	1749
skipper.crew.hut	maryann.girl.hut	9923
maryann.girl.hut	fileserver.copyroom.hut	4127
fileserver.copyroom.hut	maryann.girl.hut	5696
laser3.copyroom.hut	ginger.girl.hut	1404
maryann.girl.hut	maryann.girl.hut	159
gilligan.crew.hut	maryann.girl.hut	6559
ginger.girl.hut	fileserver.copyroom.hut	9274
maryann.girl.hut	skipper.crew.hut	7830
skipper.crew.hut	fileserver.copyroom.hut	6616
gilligan.crew.hut	laser3.copyroom.hut	7475
skipper.crew.hut	laser3.copyroom.hut	6788
ginger.girl.hut	skipper.crew.hut	3166
gilligan.crew.hut	fileserver.copyroom.hut	9895
laser3.copyroom.hut	professor.hut	1637
laser3.copyroom.hut	professor.hut	1974
laser3.copyroom.hut	maryann.girl.hut	240
fileserver.copyroom.hut	skipper.crew.hut	4533
ginger.girl.hut	gilligan.crew.hut	6917
gilligan.crew.hut	maryann.girl.hut	4370
skipper.crew.hut	ginger.girl.hut	8351
maryann.girl.hut	maryann.girl.hut	4351
ginger.girl.hut	skipper.crew.hut	6826
fileserver.copyroom.hut	skipper.crew.hut	9840
professor.hut	skipper.crew.hut	5109
skipper.crew.hut	professor.hut	9202
fileserver.copyroom.hut	gilligan.crew.hut	6742
skipper.crew.hut	laser3.copyroom.hut	8474
gilligan.crew.hut	fileserver.copyroom.hut	7815
ginger.girl.hut	maryann.girl.hut	464
ginger.girl.hut	skipper.crew.hut	8580
ginger.girl.hut	skipper.crew.hut	3433
maryann.girl.hut	skipper.crew.hut	7295
maryann.girl.hut	maryann.girl.hut	5246
professor.hut	ginger.girl.hut	183
fileserver.copyroom.hut	gilligan.crew.hut	7700
skipper.crew.hut	fileserver.copyroom.hut	3500
maryann.girl.hut	maryann.girl.hut	3758
professor.hut	professor.hut	2305
gilligan.crew.hut	ginger.girl.hut	4618
laser3.copyroom.hut	skipper.crew.hut	6487
laser3.copyroom.hut	professor.hut	9217
gilligan.crew.hut	maryann.girl.hut	922
ginger.girl.hut	professor.hut	2811
gilligan.crew.hut	maryann.girl.hut	7007
maryann.girl.hut	laser3.copyroom.hut	2752
professor.hut	skipper.crew.hut	7340
fileserver.copyroom.hut	gilligan.crew.hut	2349
fileserver.copyroom.hut	ginger.girl.hut	5905
maryann.girl.hut	maryann.girl.hut	6480
gilligan.crew.hut	professor.hut	5984
ginger.girl.hut	gilligan.crew.hut	699
gilligan.crew.hut	skipper.crew.hut	1564
skipper.crew.hut	gilligan.crew.hut	9956
skipper.crew.hut	ginger.girl.hut	6252
skipper.crew.hut	professor.hut	8175
maryann.girl.hut	gilligan.crew.hut	4886
laser3.copyroom.hut	laser3.copyroom.hut	8919
ginger.girl.hut	gilligan.crew.hut	2837
ginger.girl.hut	fileserver.copyroom.hut	644
maryann.girl.hut	ginger.girl.hut	4620
maryann.girl.hut	gilligan.crew.hut	353
maryann.girl.hut	ginger.girl.hut	9514
fileserver.copyroom.hut	maryann.girl.hut	4635
gilligan.crew.hut	maryann.girl.hut	4756
professor.hut	professor.hut	5572
laser3.copyroom.hut	professor.hut	6813
fileserver.copyroom.hut	professor.hut	7532
fileserver.copyroom.hut	fileserver.copyroom.hut	5033
ginger.girl.hut	ginger.girl.hut	9036
professor.hut	ginger.girl.hut	9803
skipper.crew.hut	maryann.girl.hut	4209
skipper.crew.hut	laser3.copyroom.hut	5157
