laser3.copyroom.hut	ginger.girl.hut	1508
fileserver.copyroom.hut	laser3.copyroom.hut	6094
laser3.copyroom.hut	laser3.copyroom.hut	7604
gilligan.crew.hut	professor.hut	7299
fileserver.copyroom.hut	skipper.crew.hut	3694
ginger.girl.hut	maryann.girl.hut	8792
professor.hut	fileserver.copyroom.hut	2618
maryann.girl.hut	maryann.girl.hut	9089
skipper.crew.hut	skipper.crew.hut	2553
laser3.copyroom.hut	laser3.copyroom.hut	5710
professor.hut	laser3.copyroom.hut	720
gilligan.crew.hut	gilligan.crew.hut	9873
ginger.girl.hut	maryann.girl.hut	9635
professor.hut	laser3.copyroom.hut	2597
laser3.copyroom.hut	fileserver.copyroom.hut	4466
professor.hut	laser3.copyroom.hut	5263
fileserver.copyroom.hut	professor.hut	3978
fileserver.copyroom.hut	gilligan.crew.hut	9566
gilligan.crew.hut	professor.hut	2805
fileserver.copyroom.hut	gilligan.crew.hut	168
gilligan.crew.hut	maryann.girl.hut	9883
ginger.girl.hut	ginger.girl.hut	9907
professor.hut	professor.hut	9982
maryann.girl.hut	professor.hut	5163
maryann.girl.hut	professor.hut	398
skipper.crew.hut	skipper.crew.hut	5478
gilligan.crew.hut	fileserver.copyroom.hut	9276
maryann.girl.hut	professor.hut	2536
ginger.girl.hut	fileserver.copyroom.hut	806
professor.hut	laser3.copyroom.hut	5472
laser3.copyroom.hut	fileserver.copyroom.hut	3366
skipper.crew.hut	fileserver.copyroom.hut	5922
gilligan.crew.hut	ginger.girl.hut	7564
maryann.girl.hut	fileserver.copyroom.hut	9556
gilligan.crew.hut	gilligan.crew.hut	6160
laser3.copyroom.hut	maryann.girl.hut	8795
professor.hut	gilligan.crew.hut	7909
maryann.girl.hut	skipper.crew.hut	4027
laser3.copyroom.hut	gilligan.crew.hut	7679
professor.hut	laser3.copyroom.hut	2370
ginger.girl.hut	skipper.crew.hut	1966
professor.hut	skipper.crew.hut	8637
gilligan.crew.hut	maryann.girl.hut	6038
skipper.crew.hut	professor.hut	8482
fileserver.copyroom.hut	ginger.girl.hut	927
